发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数,verified_reason,description
平安江阳,06月21日19:44,来自微博视频号, 【以传承印证初心！#袁隆平儿子接棒#】#平安法治2021#距离袁隆平院士逝世将近一个月，国家杂交水稻工程技术研究中心副主任袁定阳将继承父亲衣钵，北上内蒙古，逐步实现袁隆平院士生前规划的“袁梦计划”。力争3年内实现兴安盟水稻每亩增产100公斤；培育兴安盟自主知识产权的水稻新品种；实现兴安盟耐盐碱水稻种植面积3年达到20万亩。L人民网的微博视频  ,0,12,8,9,四川省泸州市公安局江阳区分局官方微博,用真诚，让您感受“指尖上的温度”！
左江日报,06月02日22:01,来自iPhone客户端, #袁隆平事迹入选语文教材#【纪录片回顾#袁隆平事迹入选高中语文教材#】他怀着“禾下乘凉梦”，半个世纪致力于水稻研究。在统编高中语文教材中，编进了《喜看稻菽千重浪——记首届国家最高科技奖获得者袁隆平》一文，讲述了“杂交水稻之父”袁隆平科研背后的故事。脚下浸泥土，心中怀大爱。国之仁士、为国为民，致敬！（来源：央视国家记忆）L央视国家记忆的微博视频2崇左  ,0,0,0,0,左江日报官方微博,
平安诸暨,06月19日09:45,来自iPhone客户端, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,1,2,浙江绍兴市诸暨市公安局官方微博,更多信息请微信关注【诸暨警方】
当涂教育,06月02日17:25,来自360安全浏览器, 【当涂经贸学校举办“育新人、凝匠心、传技艺”讲座】为弘扬劳模精神、劳动精神、工匠精神，培养学生“专业、专心、传承、创新、责任、担当”的优秀品质，培育优秀技能人才，5月26日下午，当涂经贸学校举办了一场主题为“育新人、凝匠心、传技艺”的精彩讲座。本次讲座在教务处主任汤君振奋人心的开场词中拉开序幕。随后，讲座的主讲人刘自波老师以“杂交水稻之父”袁隆平的事迹为例，向同学们介绍了袁隆平院士的功勋事迹，号召同学们学习袁院士身上体现的大国工匠精神。座下学生无不感动，纷纷表示要向袁隆平院士学习，认认真真学专业，踏踏实实练技能。此外，刘老师还分享了数控专业的专业特点以及发展历程、创新成果，同时分享了自己的成长经历。他勉励同学们只要怀有匠心、坚持学习、接受磨炼，不管到哪里，不管做什么事情，都将会成功。他希望同学们今后能够扎根专业，不断探索，精益求精，把自己铸就成为一名优秀工匠，为建设家乡贡献力量！  ,0,0,0,1,安徽省当涂县教育局官方微博,
临汾政法,06月21日17:39,来自微博weibo.com, 【#袁隆平儿子接棒继续袁梦计划#】,0,0,0,1,中共临汾市委政法委员会官方微博,临汾市委政法委官方微博
益阳检察,06月03日15:05,来自微博视频号, 【纪录片回顾#袁隆平事迹入选高中语文教材#】他怀着“禾下乘凉梦”，半个世纪致力于水稻研究。在统编高中语文教材中，编进了《喜看稻菽千重浪——记首届国家最高科技奖获得者袁隆平》一文，讲述了“杂交水稻之父”袁隆平科研背后的故事。脚下浸泥土，心中怀大爱。国之仁士、为国为民，致敬！L央视国家记忆的微博视频  ,0,0,0,0,湖南省益阳市人民检察院官方微博,
菏泽日报,06月21日18:02,来自iPhone客户端, 【#袁隆平儿子接棒继续袁梦计划#】距离袁隆平院士逝世将近一个月，袁隆平儿子、国家杂交水稻工程技术研究中心副主任袁定阳已继承衣钵，北上内蒙古，继续“袁梦计划”。袁定阳表示，力争3年内实现兴安盟水稻每亩增产100公斤；培育兴安盟自主知识产权的水稻新品种；实现兴安盟耐盐碱水稻种植面积3年达到20万亩。2020年1月13日，袁隆平在三亚发布“袁梦计划”，在盐碱地上种水稻。（光明日报）O袁隆平儿子接棒！L人民网的微博视频  ,0,0,0,0,《菏泽日报》,
双流服务,06月19日12:48,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,0,0,成都市双流区行政审批局官方微博,
南铁宜春车务段,05月29日10:47,来自华为Mate40保时捷设计, #宜车微视角#【择一事，尽全心！致敬#衣食住行背后的院士天团#】“杂交水稻之父”#袁隆平#，一生躬耕田间，只为天下稻香年丰；“甜瓜院士”吴明珠，一心扎根新疆，只为岁岁瓜果飘香…网友：衣食住行，方方面面，原来美好生活是因为有科学家在奋斗。“科”之大者，为国为民，转发传递：感谢数十年如一日的钻研↓↓（人民日报）  ,0,0,0,1,中国铁路南昌局集团有限公司宜春车务段官方微博,
北京政法,06月19日22:30,来自微博视频号, #晚安#“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频#袁隆平讲禾下乘凉梦的珍贵影像#@央视新闻  ,0,2,4,8,北京政法网官方微博,助力平安北京 服务首都百姓
苏州政法,06月02日22:04,来自微博视频号, 【纪录片回顾#袁隆平事迹入选高中语文教材#】他怀着“禾下乘凉梦”，半个世纪致力于水稻研究。在统编高中语文教材中，编进了《喜看稻菽千重浪——记首届国家最高科技奖获得者袁隆平》一文，讲述了“杂交水稻之父”袁隆平科研背后的故事。脚下浸泥土，心中怀大爱。国之仁士、为国为民，致敬！L央视国家记忆的微博视频  ,0,1,3,2,中国共产党苏州市委员会政法委员会官方微博,
环球网,05月31日06:44,来自微博视频号, 【#袁花花经常陪袁隆平听报告#：试验田里逮过青蛙，袁老对它十分宠爱】湖南长沙，袁花花是袁隆平院士在2020年五一收养的小猫，袁老对它十分宠爱。杂交水稻研究中心研究员辛业芸称，袁花花经常陪着袁老听工作汇报，曾在试验田里捉过青蛙老鼠。袁老回来时，小猫跑着去迎接，要躺在离袁老最近的地方。@一手VideoL一手Video的微博视频  ,0,69,57,810,环球网微博,环球网【http://www.huanqiu.com】是由《环球时报》社主办的中英文双语网站，每日滚动发送热门国际台海新闻。环球网，世界很精彩！
太旗政法之声,05月30日20:32,来自HUAWEInova2s, 【#为中国人吃好饭这些院士倾尽一生#】袁隆平院士生命最后仍心系水稻；吴明珠院士用一生把瓜甜献给人民；李玉院士一辈子围着“小木耳”打转……不少院士致力让中国人吃好饭，这是#一辈子一件事的院士精神#。我们生活中看似的日常，原来背后都有人用一生守候，感谢他们​（新华社）​​​,0,0,0,0,中共太仆寺旗委政法委员会官方微博,
小市街道黄家圩社区,06月21日17:59,来自微博weibo.com, 【#袁隆平儿子接棒继续袁梦计划#】距离袁隆平院士逝世将近一个月，袁隆平儿子、国家杂交水稻工程技术研究中心副主任袁定阳已继承衣钵，北上内蒙古，继续“袁梦计划”。袁定阳表示，力争3年内实现兴安盟水稻每亩增产100公斤；培育兴安盟自主知识产权的水稻新品种；实现兴安盟耐盐碱水稻种植面积3年,0,0,0,0,江苏省南京市鼓楼区小市街道黄家圩社区官方微博,黄家圩社区地处沪宁城际铁路和南京火车站以北，东接红山动物园北大门，西临十里长沟，北依和燕路，占地面积约0.53平方公里
鄞州公安,05月30日12:46,来自iPhone客户端, 【#袁花花经常陪袁隆平听报告#：试验田里逮过青蛙，袁老对它爱不释手】,0,0,0,2,宁波市公安局鄞州分局官方微博,宁波市公安局鄞州分局位于鄞州中心区惠风西路10号。分局设18个业务科室队，下辖25个基层派出所。报警电话：88155000。
兰州市城关区总工会,06月22日09:41,来自微博weibo.com, #袁隆平儿子接棒继续袁梦计划#《袁隆平儿子接棒！》O袁隆平儿子接棒！​,0,0,0,0,兰州市城关区总工会官方微博,维护职工合法权益，竭诚服务职工群众。公众号抖音同名，欢迎关注。
天水检察,06月21日10:59,来自Android, #天检播报#【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，籽粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频（来源：央视新闻）  ,0,0,0,0,甘肃省天水市人民检察院官方微博,
西安交警,06月02日18:49,来自微博视频号, 【纪录片回顾#袁隆平事迹入选高中语文教材#】他怀着“禾下乘凉梦”，半个世纪致力于水稻研究。在统编高中语文教材中，编进了《喜看稻菽千重浪——记首届国家最高科技奖获得者袁隆平》一文，讲述了“杂交水稻之父”袁隆平科研背后的故事。脚下浸泥土，心中怀大爱。国之仁士、为国为民，致敬！L央视国家记忆的微博视频  ,0,0,0,3,西安市公安局交通警察支队官方微博,西安市公安局交通警察支队官方微博
新浪海南,06月21日17:30,来自微博视频号, 【#袁隆平儿子接棒继续袁梦计划#】距离袁隆平院士逝世将近一个月，袁隆平儿子、国家杂交水稻工程技术研究中心副主任袁定阳已继承衣钵，北上内蒙古，继续“袁梦计划”。袁定阳表示，力争3年内实现兴安盟水稻每亩增产100公斤；培育兴安盟自主知识产权的水稻新品种；实现兴安盟耐盐碱水稻种植面积3年达到20万亩。2020年1月13日，袁隆平在三亚发布“袁梦计划”，在盐碱地上种水稻。（光明日报）L人民网的微博视频  ,0,1,0,2,新浪海南官方微博，新浪看点海南站官方微博,新浪海南（hainan.sina.com.cn）：为您提供最新最快的新闻、生活和行业讯息，与您分享激情、梦想与快乐。欢迎@或私信我们！
锡林郭勒盟团委,06月19日12:01,来自微博视频号, 【重温！#袁隆平讲禾下乘凉梦的珍贵影像#】这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#中国人的故事# #袁隆平有哪些成就#(湖北日报)L中国共青团网的微博视频​​​,0,0,0,1,中国共产主义青年团锡林郭勒盟委员会官方微博,
南铁宜春车务段,05月30日15:03,来自华为Mate40保时捷设计, #宜车微视角#【世上少了一位飞行员却多了一位国之仁士】在袁老传奇一生中，他不仅差点成为专业运动员，还差点成为空军飞行员。1952年，袁隆平正在西南农学院农学系读大学。在抗美援朝的烽火中，人民空军到西南农学院选拔飞行员，全校800多名候选学生中，只有8个人合格，袁隆平就是其中一员。详见：O世上少了一位飞行员　却多了一位国之仁士#袁花花经常陪袁隆平听报告# #中国人最该追的星#  ,0,5,5,6,中国铁路南昌局集团有限公司宜春车务段官方微博,
中国青年报,06月01日13:30,来自微博weibo.com, 【超九成受访青少年会将袁隆平吴孟超等科学家作为人生偶像】5月22日，袁隆平院士与吴孟超院士先后辞世，无数国人在各种场合自发地表达悼念之情。而追悼人群的重要组成部分，正是年轻人。上周，中国青年报社社会调查中心的一项调查显示，了解到袁隆平等科学家的感人事迹后，81.4%的受访青少年表示非常受鼓舞，会因此立志当科学家。95.2%的受访青少年明确表示，会将袁隆平、吴孟超等著名科学家作为人生偶像。O95.2%受访青少年会将袁隆平吴孟超等科学家作为人生偶像  ,0,9,28,258,中国青年报•中青在线微博,历史的一份底稿。（中国青年报官方网站中青在线 www.cyol.com 微信公众账号：zqbcyol）
都市频道,06月19日10:47,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,1,河南都市频道官方微博,河南电视新闻门户，好剧地标。 河南广播电视台都市频道 官方微博。
中国共青团网,06月02日22:05,来自微博视频号, 【致敬！纪录片回顾#袁隆平事迹入选高中语文教材#】他怀着“禾下乘凉梦”，半个世纪致力于水稻研究。在统编高中语文教材中，编进了《喜看稻菽千重浪——记首届国家最高科技奖获得者袁隆平》一文，讲述了“杂交水稻之父”袁隆平科研背后的故事。国之仁士、为国为民，脚下浸泥土，心中怀大爱↓L央视国家记忆的微博视频  ,0,8,6,59,中国共青团网官方微博,中国共青团网是共青团中央官方网站，网址：http://www.gqt.org.cn/或者http://www.ccyl.org.cn/
汉中中院,06月19日07:23,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,2,陕西省汉中市中级人民法院官方微博,法院微博，良性沟通的平台、传播法治的平台、弘扬正义的平台。徒法不能自行。严格执法、公正廉洁，共塑人民法院公信力。
广东共青团,05月30日12:08,, 【这是#中国科学家青春的模样#，致敬！】“憋着一肚子气”搞导弹研发的钱学森、“要求自己鞠躬尽瘁”的中国第一代核潜艇总师黄旭华、为杂交水稻奉献一生的袁隆平……他们在不同领域呕心沥血，无愧为国之脊梁！今天，全国科技工作者日。致敬科技工作者！​,0,9,2,71,共青团广东省委员会官方微博,根植中国南方 关注青年所需
新浪军事,05月30日11:49,来自微博视频号, 【沙画还原袁隆平院士生平画面】用沙画还原袁隆平院士生前的一些经典照片，最终画面定格在一位农民站在五星红旗图案的稻田上，背景音乐是袁隆平院士亲自作词的《我有一个梦》。“我有着一个梦，走在田埂上，它同我一般高，我拉着我最亲爱的朋友，坐在稻穗下乘凉……”#中国人最该追的星#@央视新闻L央视新闻的微博视频  ,0,22,6,143,新浪军事官方微博,播报最热军事资讯，介绍武器装备、各国军队、军事历史等军事知识。私信开放，欢迎投稿！
央视新闻,05月30日06:50,来自微博weibo.com, 【他们，才是#中国人最该追的星#！致敬！】“憋着一肚子气”搞导弹研发的钱学森、“要求自己鞠躬尽瘁”的中国第一代核潜艇总师黄旭华、为杂交水稻奉献一生的袁隆平……他们在不同领域呕心沥血，无愧为国之脊梁！今天，全国科技工作者日。发条微博，#致敬科技工作者#！​,0,70308,18562,415238,中央电视台新闻中心官方微博,“央视新闻”微博是中央电视台新闻中心官方微博，是央视重大新闻、突发事件、重点报道的首发平台。
蒲江医保,06月03日09:32,来自360安全浏览器, 【纪录片回顾#袁隆平事迹入选高中语文教材#】,0,0,0,0,成都市蒲江县医疗保障局官方微博,成都市蒲江县医疗保障局
1905电影网官博,05月30日15:21,来自微博视频号, #中国人最该追的星#“干惊天动地事，做隐姓埋名人。”他们以民族振兴为己任，毕生探索让中国科学走得更远。在《我是医生》《钱学森》《袁隆平》《邓稼先》《厉害了，我的国》《黄大年》等电影中，都展现出他们苦心钻研、艰苦奋斗的精神，#全国科技工作者日#转发，致敬中国科研人！L1905电影网官博的微博视频  ,0,3,6,26,1905电影网官方微博,由CCTV6电影频道节目中心主办的电影专业门户网站。1905电影网：www.1905.com，
彭州发布,06月22日10:49,来自iPhone客户端, #知识分子的红色记忆#【#袁隆平让中国人把饭碗牢牢端在自己手里#】他是我国研究与发展杂交水稻的开创者，也是世界上第一个成功利用水稻杂种优势的科学家。他把对祖国和党的热爱结成饱满的稻穗，让中国人把饭碗牢牢端在自己手里，将人类不再饥饿的千年梦想变成了人间奇迹。点击视频，走进“杂交水稻之父”袁隆平的红色记忆。L光明网的微博视频  ,0,1,0,0,中共彭州市委宣传部,【汇聚网络力量，共谋彭州发展】—中共彭州市委宣传部官方微博。我们将为您提供彭州相关信息，你们有什么新鲜事，也请@彭州发布分享哦！
广东省户外家具行业协会,06月22日08:11,来自微博weibo.com, #天天读报广东省户外家协带你领略天下事#6月22日微语简报，星期二，农历五月十三，工作愉快，生活喜乐！1、外媒：美国商务部撤销对TikTok和WeChat的禁令。2、国家砍价医保药进入8.4万家定点医疗机构。3、抖音网页版正式上线：支持点赞、看评论、发视频。4、工行禁止服务用于虚拟货币交易。5、袁隆平儿子接棒继续袁梦计划。6、生猪价格下降同比超50%，农业农村部提醒养殖户加快淘汰低产母猪。7、东京奥运每场观众上限1万人。8、广东东莞全市开展全员核酸检测。9、欧盟启动1万亿美元债券的发行，以帮助经济从疫情中复苏。10、脸书正式推出语音聊天应用LiveAudioRooms。11、前程无忧达成私有化协议，对价每股79.05美元。12、欧盟宣布因克里米亚问题对俄罗斯实施相关制裁再次延长一年。【微语】检验一个人的标准，就是看他把时间放在了哪儿。别自欺欺人，当生命走到尽头，只有时间不会撒谎。——余华《活着》  ,0,0,0,0,广东省户外家具行业协会,广东省户外家具行业协会官方微博，欢迎关注！
河南教育广播,05月30日14:54,来自iPhone12, 【#袁花花经常陪袁隆平听报告#：试验田里逮过青蛙，袁老对它爱不释手】湖南长沙，袁花花是袁隆平院士在2020年五一收养的小猫，袁老对它爱不释手。杂交水稻研究中心研究员辛业芸称，袁花花经常陪着袁老听工作汇报，曾在试验田里捉过青蛙老鼠。袁老回来时，小猫跑着去迎接，要躺在离袁老最近的地方。@一手VideoL一手Video的微博视频  ,0,0,0,0,河南广播电视台教育广播官方微博,河南教育广播 106.6大手拉小手
陕西科普V,06月19日09:41,来自微博视频号, #陕西科普#【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#@央视新闻L央视新闻的微博视频  ,0,1,0,0,,
香港中通社,06月02日19:54,来自微博视频号, 【#袁隆平事迹入选语文教材#[水稻]】統編高中語文教材中，編進了《喜看稻菽千重浪——記首屆國家最高科技獎獲得者袁隆平》一文，深度講述了“雜交水稻之父”袁隆平科研背後的故事。腳下浸泥土，心中懷大愛，國之仁士為國為民的情懷，刻入學生心田，世世代代相傳。#三科统编教材编写幕后#@央视国家记忆L香港中通社的微博视频  ,0,5,4,65,香港中國通訊社官方微博,香港中國通訊社（香港中通社）立足香港、關注台灣、報道內地、面向海外，是香港歷史最悠久的中文通訊社。
烟台高速交警支队福山大队,06月06日14:12,来自微博视频号, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！（ZH）L四川观察的微博视频​​​L烟台高速交警支队福山大队的微博视频​,0,0,0,0,山东省烟台市公安局高速公路交通警察支队福山大队官方微博,烟台高速福山大队负责沈海高速和荣乌高速部分路段的交通安全管理工作，我们将尽最大努力确保辖区路段安全畅通，和广大驾驶员共同营造良好的通行秩序。
古美家园,06月22日14:53,来自曲屏双摄vivoXplay6, //@今日闵行:【#袁隆平儿子接棒继续袁梦计划#】,0,1,0,1,上海市闵行区人民政府古美路街道办事处官方微博,这里是一个充满活力的年轻社区，这里是一个充满乐趣的生活社区。“微”聚民心，“博”系温暖，古美路街道官方微博，欢迎各位粉丝关注，让你感受到真实古美的脉搏跳动。
平安郑州,06月15日11:15,来自微博视频号, 一部以袁隆平爷爷形象为主角的科普动画片《寻味房游记》，看的人泪流满面。致敬所有科学工作者！#科普袁隆平对杂交水稻的贡献#L环球纪录频道的微博视频​,0,2,1,8,郑州市公安局官方微博,郑州市公安局网络服务平台，架起一座民警与群众沟通的“连心桥”
绿色青浦,06月01日12:42,来自微博weibo.com, 【致敬“杂交水稻之父”#袁隆平无锡惠山泥塑完成#】“杂交水稻之父”袁隆平院士逝世之后，为了表达无锡人最真切的哀思，与袁老有着数面之缘的无锡人张文，策划了用惠山泥为袁老塑像的系列行动，短短一周时间，第一尊袁隆平惠山泥塑就完成了，记者了解到，这座塑像将与一首专为袁老创作的歌曲一起被送到湖南长沙。#点赞无锡#  ,0,1,0,0,上海市青浦区人民政府新闻办公室官方微博,青浦，上海历史文明的发祥之地，生态宜居的湖滨城市，长三角经济圈的枢纽门户。这里是上海市青浦区人民政府新闻办公室官方微博，欢迎围观。
上海杨浦,06月03日07:40,来自微博视频号, 【#袁隆平事迹入选语文教材#】统编高中语文教材中，编进了《喜看稻菽千重浪——记首届国家最高科技奖获得者袁隆平》一文，深度讲述了“杂交水稻之父”袁隆平科研背后的故事。脚下浸泥土，心中怀大爱，国之仁士为国为民的情怀，刻入学生心田，世世代代相传。L央视国家记忆的微博视频​,0,1,0,2,上海市杨浦区政府,上海杨浦，中国近代工业发祥地，汇聚多所百年历史的大学，最早实施中国近代城市规划。传承历史，延续辉煌！双创杨浦，期待您的关注和参与。
内蒙古教育,06月21日17:30,来自微博视频号, 【#袁隆平儿子接棒继续袁梦计划#】距离袁隆平院士逝世将近一个月，袁隆平儿子、国家杂交水稻工程技术研究中心副主任袁定阳已继承衣钵，北上内蒙古，继续“袁梦计划”。袁定阳表示，力争3年内实现兴安盟水稻每亩增产100公斤；培育兴安盟自主知识产权的水稻新品种；实现兴安盟耐盐碱水稻种植面积3年达到20万亩。2020年1月13日，袁隆平在三亚发布“袁梦计划”，在盐碱地上种水稻。（光明日报）L人民网的微博视频  ,0,0,0,0,中公教育内蒙古分公司官方微博,中公教育2000年进入公务员考试培训行业，核心业务是公务员招录考试培训、事业单位招录考试培训、教师招录考试培训等。目前，在全国建立了1669家直营分部和学习中心，覆盖全国319个地市，拥有21000+名专职师资和研发人员。
明光检察院,06月19日08:40,来自iPhone客户端, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0,安徽省明光市人民检察院官方微博,强化法律监督 维护公平正义
大庆市中级人民法院,06月06日17:35,来自微博视频号, 【永远怀念！#送别袁老鲜花上的卡片将被永存#】送别袁老的鲜花上附带的卡片堆满了整个房间，6月5日袁隆平学生发文：这些卡片收集整理后将永远保存。永远怀念袁老！via.四川观察L四川观察的微博视频​​​,0,8,8,9,黑龙江省大庆市中级人民法院官方微博,
湖北经视,06月21日16:15,来自微博视频号, 【#袁隆平儿子接棒继续袁梦计划#】距离袁隆平院士逝世将近一个月，袁隆平儿子、国家杂交水稻工程技术研究中心副主任袁定阳已继承衣钵，北上内蒙古，继续“袁梦计划”。袁定阳表示，力争3年内实现兴安盟水稻每亩增产100公斤；培育兴安盟自主知识产权的水稻新品种；实现兴安盟耐盐碱水稻种植面积3年达到20万亩。2020年1月13日，袁隆平在三亚发布“袁梦计划”，在盐碱地上种水稻。#宝藏蓝V激励计划#（光明日报）L人民网的微博视频  ,0,1,0,3,湖北广播电视总台电视经视频道官方微博,湖北经视是湖北最具影响力的地面电视媒体，在武汉市所有能收看的电视频道中（含央视、各省级卫视）连续13年收视率排名第一。
江西晨报,06月21日16:13,来自微博视频号, 【#袁隆平儿子接棒继续袁梦计划#】距离袁隆平院士逝世将近一个月，袁隆平儿子、国家杂交水稻工程技术研究中心副主任袁定阳已继承衣钵，北上内蒙古，继续“袁梦计划”。袁定阳表示，力争3年内实现兴安盟水稻每亩增产100公斤；培育兴安盟自主知识产权的水稻新品种；实现兴安盟耐盐碱水稻种植面积3年达到20万亩。2020年1月13日，袁隆平在三亚发布“袁梦计划”，在盐碱地上种水稻。（光明日报人民日报）L人民网的微博视频  ,0,0,0,2,江西晨报官方微博,【江西情怀 晨报视野】我们肩担责任与正义，忠实记录时代前进步伐，展现变化、传播美好。
中新图片,06月10日07:50,来自微博weibo.com, #中国共产党百年华诞#【我们的家园——湖南长沙】2021年，中国共产党迎来百年华诞。1927年9月，中国共产党在湘赣边界领导发动秋收起义。秋收起义打出了人民军队第一面军旗，建设了一支由中国共产党绝对领导的新型人民军队，由此开启中国革命“农村包围城市”的道路。1984年，湖南杂交水稻研究中心在长沙建立，成为国内外第一家从事杂交水稻的科研机构。近些年，长沙又打响了一张张名片，“中国第一台中低速磁悬浮列车”、“工程机械之都”、“世界媒体艺术之都”、“中非经贸论坛举办地”。#中共百年华诞# #我们的家园# #湖南# #长沙#　图1：2021年，一名参观者在中国人民革命军事博物馆内观看描绘秋收起义的油画作品。中新社记者熊然摄图2：2021年拍摄的湖南文家市镇秋收广场上的“光辉起点”雕塑。中新社记者王昊昊摄图3：2021年，民众在长沙岳麓书院内参观。中新社记者贾天勇摄图4：2016年，中国首条具有完全自主知识产权的中低速磁悬浮商业运营示范线——长沙磁浮快线开通试运营。中新社记者杨华峰摄　　图5：2018年9月，首届（长沙）国际稻作发展论坛在长沙开幕，袁隆平（右三）与日本专家池桥宏（右二）在田间交谈。中新社记者杨华峰摄　　图6：2019年，第一届长沙国际工程机械展览会在湖南长沙举行。中新社记者杨华峰摄图7：2019年，中国-非洲经贸博览会在长沙举行，并永久落户湖南。中新社记者杨华峰摄　　　图8：2021年，媒体走访湖南广播电视台的“芒果TV”平台。中新社记者贾天勇摄　图9：2018年，长沙宁乡炭河古城举办吃辣椒挑战赛。中新社记者杨华峰摄图10：2020年6月，民众在长沙湘江西岸的渔人码头就餐。中新社记者杨华峰摄图11：2019年拍摄的长沙橘子洲头。（无人机照片）中新社记者杨华峰摄  ,0,0,0,0,中国新闻图片网（www.cnsphoto.com）官方微博,投稿请发邮箱photocns@chinanews.com.cn 详细请见“帮助中心”
淄博市图书馆,05月30日07:20,来自OPPOReno55G, #全国科技工作者日#【他们，才是#中国人最该追的星#！致敬！】“憋着一肚子气”搞导弹研发的钱学森、“要求自己鞠躬尽瘁”的中国第一代核潜艇总师黄旭华、为杂交水稻奉献一生的袁隆平……他们在不同领域呕心沥血，无愧为国之脊梁！今天，全国科技工作者日。发条微博，#致敬科技工作者#！​​​  ,0,1,1,5,山东省淄博市图书馆官方微博,走进淄图 畅享悦读
长春共青团,06月21日18:08,来自微博视频号, #袁隆平儿子接棒继续袁梦计划#【#袁隆平儿子接棒继续袁梦计划#】距离袁隆平院士逝世将近一个月，袁隆平儿子、国家杂交水稻工程技术研究中心副主任袁定阳已继承衣钵，北上内蒙古，继续“袁梦计划”。袁定阳表示，力争3年内实现兴安盟水稻每亩增产100公斤；培育兴安盟自主知识产权的水稻新品种；实现兴安盟耐盐碱水稻种植面积3年达到20万亩。2020年1月13日，袁隆平在三亚发布“袁梦计划”，在盐碱地上种水稻。（光明日报）O袁隆平儿子接棒！L人民网的微博视频  ,0,0,0,0,共青团长春市委员会官方微博,暂无
